CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-02-25 00:00,m,218,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-02-26 00:00,m,215,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-02-27 00:00,m,215,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-02-28 00:00,m,215,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-02-29 00:00,m,211,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-01 00:00,m,211,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-02 00:00,m,211,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-03 00:00,m,208,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-04 00:00,m,208,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-05 00:00,m,208,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-06 00:00,m,208,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-07 00:00,m,205,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-08 00:00,m,205,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-09 00:00,m,205,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-10 00:00,m,202,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-11 00:00,m,202,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-12 00:00,m,202,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-13 00:00,m,199,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-14 00:00,m,199,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-15 00:00,m,199,Definitivo
